Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 Poss_for,Touches Def Pen_for,Touches Def 3rd_for,Touches Mid 3rd_for,Touches Att 3rd_for,Touches Att Pen_for,Take-Ons Att_for,Take-Ons Succ_for,Take-Ons Succ%_for,Take-Ons Tkld_for,Take-Ons Tkld%_for,Carries Carries_for,Carries PrgC_for,Carries 1/3_for,Carries CPA_for,Carries Mis_for,Carries Dis_for,Receiving Rec_for,Receiving PrgR_for,Unnamed: 2_level_0 Poss_against,Touches Touches_against,Touches Def Pen_against,Touches Def 3rd_against,Touches Mid 3rd_against,Touches Att 3rd_against,Touches Att Pen_against,Take-Ons Att_against,Take-Ons Succ_against,Take-Ons Succ%_against,Take-Ons Tkld_against,Take-Ons Tkld%_against,Carries Carries_against,Carries PrgC_against,Carries 1/3_against,Carries CPA_against,Carries Mis_against,Carries Dis_against,Receiving Rec_against,Receiving PrgR_against
31,47.4,2002,6073,9400,4869,661,525,315,60.0,210,40.0,9935,562,428,124,611,306,10840,1346,52.6,22151,2230,7171,10223,4984,686,617,350,56.7,267,43.3,11357,581,427,143,620,346,12918,1293
26,58.8,2234,7711,12551,7671,1038,769,484,62.9,285,37.1,17146,951,727,302,518,315,19981,1951,41.2,20543,2583,7110,9207,4451,530,595,369,62.0,226,38.0,11264,604,473,131,498,360,12905,1199
27,56.2,2340,7553,11352,5327,778,591,355,60.1,234,39.6,14006,737,523,149,552,357,15827,1573,43.8,19876,2210,6594,8777,4746,694,573,321,56.0,252,44.0,10620,546,441,158,539,299,11562,1117
26,57.9,2229,7794,11678,6387,920,667,413,61.9,254,38.1,14440,803,571,211,541,352,17430,1804,42.1,19982,2400,6615,8833,4755,552,661,400,60.5,261,39.5,10431,552,452,124,573,326,11679,1123
28,49.0,2592,7697,9694,4654,638,549,345,62.8,203,37.0,12893,671,491,114,521,283,14386,1367,51.0,23063,1945,6033,10538,6712,902,590,357,60.5,232,39.3,13600,863,648,204,460,268,15626,1681
30,44.7,2162,6607,9057,3980,480,569,338,59.4,231,40.6,9985,510,403,110,537,324,11102,1096,55.3,23568,1868,5973,11723,6085,787,672,433,64.4,239,35.6,13197,797,568,158,652,329,15342,1750
25,52.9,2532,7874,11259,5231,772,690,431,62.5,259,37.5,13189,694,518,209,601,310,16111,1472,47.1,21804,2106,6369,9998,5666,812,602,384,63.8,218,36.2,12330,676,473,170,508,335,13890,1452
26,42.7,2174,6367,8264,4063,609,489,276,56.4,213,43.6,8348,511,366,103,587,341,9540,1102,57.3,23524,2023,6609,11133,6010,864,595,341,57.3,254,42.7,12837,714,535,173,587,392,14794,1825
27,50.0,1935,6265,10194,5320,703,542,288,53.1,254,46.9,10781,626,533,124,522,344,13087,1434,50.0,21677,2176,6972,9852,5095,657,646,401,62.1,245,37.9,11399,677,536,124,525,398,13185,1309
29,49.2,1928,6339,10785,6196,765,572,366,64.0,205,35.8,12778,677,581,169,497,412,14831,1369,50.8,23808,2256,7066,11384,5594,638,701,381,54.4,319,45.5,12723,662,596,112,531,465,15622,1645
