Squad,Performance CrdY_for,Performance CrdR_for,Performance 2CrdY_for,Performance Fls_for,Performance Fld_for,Performance Off_for,Performance Crs_for,Performance Int_for,Performance TklW_for,Performance PKwon_for,Performance PKcon_for,Performance OG_for,Performance Recov_for,Aerial Duels Won_for,Aerial Duels Lost_for,Performance CrdY_against,Performance CrdR_against,Performance 2CrdY_against,Performance Fls_against,Performance Fld_against,Performance Off_against,Performance Crs_against,Performance Int_against,Performance TklW_against,Performance PKwon_against,Performance PKcon_against,Performance OG_against,Performance Recov_against,Aerial Duels Won_against,Aerial Duels Lost_against,Season
Osasuna,78,5,1,518,392,68,813,263,311,4,2,0,1802,750,655,92,6,2,420,500,126,694,291,339,1,5,0,1887,655,750,2023-2024
Rayo Vallecano,108,5,3,563,518,96,688,308,372,3,2,2,1908,506,578,105,7,3,557,535,87,682,285,408,0,6,0,1934,578,506,2023-2024
Real Madrid,69,4,1,368,523,79,618,296,368,3,1,1,1766,329,272,95,0,0,548,354,38,680,296,389,0,5,2,1609,272,329,2023-2024
Real Sociedad,98,2,0,604,442,92,672,253,405,1,7,1,1816,759,714,100,6,3,469,570,98,523,278,368,4,4,3,1665,714,759,2023-2024
Sevilla,108,4,0,477,443,77,934,313,463,1,5,2,1901,610,525,81,3,1,464,445,78,698,236,347,1,2,2,1720,525,610,2023-2024
Valencia,64,5,2,481,475,69,593,324,379,7,6,2,1863,485,628,102,5,0,495,456,86,734,269,379,5,9,1,1898,628,485,2023-2024
Villarreal,110,8,4,488,462,92,592,304,348,5,6,1,1697,474,357,91,2,2,486,461,75,886,346,436,3,7,1,1876,357,474,2023-2024
Almería,98,4,2,443,401,83,605,322,322,2,6,1,1890,482,530,93,5,2,427,427,158,851,249,369,5,3,0,2010,530,482,2022-2023
Athletic Club,81,5,1,512,421,96,918,310,369,3,3,3,2194,532,487,97,3,1,449,479,77,579,384,416,3,7,1,2087,487,532,2022-2023
Atlético Madrid,92,8,3,440,418,79,625,304,408,0,5,0,1977,445,399,93,6,2,449,419,57,743,368,317,3,1,2,2011,399,445,2022-2023
Barcelona,84,6,3,433,452,98,744,253,324,0,3,3,1995,467,359,93,8,2,471,412,120,483,369,385,3,2,1,1831,359,467,2022-2023
Betis,83,15,3,414,535,74,514,364,421,4,3,1,1918,453,502,99,8,1,568,389,104,756,324,417,2,9,3,1977,502,453,2022-2023
Cádiz,116,7,4,532,482,75,633,270,410,2,10,0,1953,606,651,100,11,5,508,503,69,852,242,374,6,5,1,1954,651,606,2022-2023
Celta Vigo,85,6,3,469,493,81,705,368,413,2,8,1,2031,458,539,112,9,3,520,446,64,633,394,356,6,3,2,2018,539,458,2022-2023
Elche,99,12,3,525,394,81,750,323,363,4,10,2,1924,484,465,83,8,4,417,499,100,753,288,402,7,5,0,1979,465,484,2022-2023
Espanyol,99,10,4,457,493,62,713,338,379,3,6,2,1791,647,596,111,8,5,515,443,82,730,238,326,4,5,1,1886,596,647,2022-2023
Getafe,126,9,6,600,437,79,649,320,339,3,8,2,1871,714,697,91,7,4,463,559,95,771,300,290,2,8,0,2137,697,714,2022-2023
Girona,92,3,2,440,507,87,713,266,321,7,8,0,1836,428,435,91,5,1,537,423,64,753,304,415,6,9,3,1905,435,428,2022-2023
Mallorca,120,5,0,611,457,77,635,318,344,4,7,0,1833,674,629,94,4,1,482,591,40,822,231,296,4,5,1,1900,629,674,2022-2023
Osasuna,93,7,1,544,410,60,794,315,328,5,4,2,1930,613,628,81,9,5,430,513,109,696,311,332,4,5,1,1892,628,613,2022-2023
Rayo Vallecano,90,6,2,544,490,98,832,309,393,2,5,4,2085,437,527,93,7,4,525,514,85,654,345,391,2,8,4,2125,527,437,2022-2023
Real Madrid,72,3,2,367,530,89,574,296,353,8,5,1,1843,339,231,97,7,1,549,348,56,541,331,407,0,12,2,1730,231,339,2022-2023
Real Sociedad,90,2,0,621,452,91,538,271,395,4,2,2,2018,664,557,98,10,5,470,591,91,570,325,403,2,4,4,1911,557,664,2022-2023
Sevilla,121,13,4,474,460,106,827,339,367,4,3,3,1973,497,475,95,8,1,477,452,75,673,271,353,2,5,0,1822,475,497,2022-2023
Valencia,93,8,3,504,510,80,924,288,428,6,5,2,2015,492,561,127,10,2,527,476,74,594,294,382,3,8,2,1925,561,492,2022-2023
Valladolid,94,6,2,460,516,98,683,345,396,4,10,1,1966,471,617,66,2,0,555,427,53,734,264,389,5,4,1,1939,617,471,2022-2023
Villarreal,91,4,2,450,482,87,520,262,370,5,4,1,1819,357,375,105,5,1,501,429,108,708,349,423,3,7,2,1823,375,357,2022-2023
Alavés,93,4,3,529,455,72,758,376,324,6,9,0,1910,869,674,79,4,1,484,497,89,789,311,273,3,7,2,2061,674,869,2021-2022
Athletic Club,90,4,3,487,483,89,798,339,292,5,3,1,2098,585,572,105,9,4,513,455,67,754,387,353,2,7,3,2036,572,585,2021-2022
Atlético Madrid,111,7,3,473,503,85,703,365,346,4,8,3,2002,559,539,102,4,1,520,444,36,601,404,309,3,5,2,1930,539,559,2021-2022
Barcelona,97,5,3,499,489,99,798,325,331,6,3,0,2066,454,410,93,5,1,511,465,78,500,392,352,2,7,0,1885,410,454,2021-2022
Betis,87,6,1,485,470,71,547,361,392,4,3,2,1908,505,511,74,3,1,495,455,129,764,375,370,3,6,2,1869,511,505,2021-2022
Cádiz,105,3,3,488,449,69,865,413,380,5,13,0,2077,601,693,98,6,3,472,462,63,750,323,312,10,6,0,2038,693,601,2021-2022
Celta Vigo,87,3,1,507,463,83,768,376,409,3,8,2,2144,603,696,103,5,0,488,481,35,609,454,324,6,6,0,2175,696,603,2021-2022
Elche,104,6,1,518,471,74,720,305,325,1,10,0,1982,527,515,80,2,0,504,495,104,767,359,346,8,1,1,2077,515,527,2021-2022
Espanyol,99,7,3,440,516,70,627,326,338,3,5,2,1736,447,574,120,7,4,540,418,86,888,287,350,2,5,1,1899,574,447,2021-2022
Getafe,121,8,1,559,481,53,621,401,360,1,4,1,1924,721,717,110,4,2,510,530,109,752,357,279,3,5,2,2111,717,721,2021-2022
Granada,105,4,1,477,466,62,691,326,343,2,9,2,1867,602,743,101,9,6,498,453,69,824,307,280,7,5,1,2067,743,602,2021-2022
Levante,109,6,2,550,403,77,624,377,305,6,6,0,2054,441,492,104,5,3,434,526,78,697,327,384,6,13,0,2051,492,441,2021-2022
Mallorca,114,7,4,554,535,67,597,344,332,6,8,4,2007,651,703,114,6,4,561,520,57,738,306,351,4,7,3,2011,703,651,2021-2022
Osasuna,84,2,1,498,391,66,864,368,331,3,7,2,2118,808,743,73,1,0,414,475,82,719,353,326,5,8,0,2104,743,808,2021-2022
Rayo Vallecano,101,3,1,537,511,83,862,365,359,4,9,1,2110,652,655,110,3,0,540,508,54,659,343,391,6,4,1,2151,655,652,2021-2022
Real Madrid,76,0,0,394,474,106,611,334,345,10,5,0,1941,397,319,82,3,1,501,370,30,670,342,346,5,12,0,1742,319,397,2021-2022
Real Sociedad,77,4,1,491,465,76,638,348,339,8,6,0,2012,678,597,95,2,2,493,465,86,662,339,415,5,11,0,1954,597,678,2021-2022
Sevilla,97,4,2,462,462,80,787,270,302,3,4,0,2064,595,561,98,4,2,497,441,53,647,348,353,1,3,2,1879,561,595,2021-2022
Valencia,134,8,6,641,586,52,765,339,364,8,8,3,2079,564,599,133,7,4,603,616,97,679,286,335,5,9,3,2076,599,564,2021-2022
Villarreal,81,1,1,472,459,91,574,329,312,3,5,1,1946,491,437,98,3,2,483,456,123,749,387,380,5,6,1,1929,437,491,2021-2022
Alavés,96,8,5,513,487,73,645,428,292,5,3,0,1737,831,602,80,3,1,514,477,107,731,342,278,3,8,1,1922,602,831,2020-2021
Athletic Club,82,3,1,483,477,77,811,344,269,5,6,1,1836,656,601,80,5,4,503,452,83,753,484,303,5,5,3,1861,601,656,2020-2021
Atlético Madrid,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,59,3,0,486,455,30,708,454,315,3,7,2,1939,482,530,2020-2021
Barcelona,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,76,6,2,546,333,48,514,517,320,5,8,5,1846,317,395,2020-2021
Betis,93,8,4,521,483,65,586,452,314,9,10,3,1938,613,628,83,2,0,507,492,125,654,364,336,6,11,0,1936,628,613,2020-2021
Cádiz,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,87,4,4,509,399,101,805,302,300,5,4,3,1929,753,687,2020-2021
Celta Vigo,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,102,6,4,529,607,51,741,489,288,6,7,0,1988,669,609,2020-2021
Eibar,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,66,2,1,417,461,128,545,406,319,5,9,0,1962,917,908,2020-2021
Elche,99,3,2,527,456,51,672,386,335,1,10,1,1811,488,539,79,2,1,496,506,64,693,406,347,6,3,1,1977,539,488,2020-2021
Getafe,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,106,6,5,549,589,87,566,390,313,6,5,1,1948,946,840,2020-2021
Granada,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,104,6,3,493,501,53,764,359,313,10,5,0,1862,851,675,2020-2021
Huesca,69,2,1,528,518,101,824,437,322,2,5,2,1876,580,598,64,2,1,554,496,74,691,323,309,3,4,2,1870,598,580,2020-2021
Levante,68,1,0,509,397,69,697,432,283,5,4,2,2023,455,522,87,7,2,430,483,99,683,433,334,2,6,1,1964,522,455,2020-2021
Osasuna,80,5,3,535,407,67,700,392,281,3,8,2,2071,996,806,65,0,0,439,507,96,800,338,309,6,6,1,2115,806,996,2020-2021
Real Madrid,59,2,1,407,474,86,771,398,318,2,8,1,1901,444,381,87,3,1,493,384,39,637,380,295,4,3,3,1748,381,444,2020-2021
Real Sociedad,81,1,0,566,459,86,712,315,322,8,5,1,1941,663,669,91,6,2,495,532,89,533,379,311,4,12,1,1875,669,663,2020-2021
Sevilla,79,2,2,491,488,69,731,362,297,4,6,2,1944,615,534,109,1,0,510,458,34,680,407,306,4,7,1,1769,534,615,2020-2021
Valencia,82,5,3,459,525,90,613,392,277,6,8,2,1832,602,575,99,5,2,560,433,73,858,391,295,4,10,2,1941,575,602,2020-2021
Valladolid,93,4,0,510,510,75,744,431,321,8,7,0,1922,628,818,96,2,0,543,474,70,775,368,314,4,8,0,1948,818,628,2020-2021
Villarreal,67,5,1,449,465,88,579,371,313,7,9,2,1878,489,496,78,4,2,496,424,76,777,416,324,7,13,3,1917,496,489,2020-2021
Alavés,111,7,3,621,432,61,562,392,346,5,15,0,1766,905,712,87,3,2,472,573,92,695,329,347,7,6,0,1939,712,905,2019-2020
Athletic Club,90,2,0,522,436,84,754,373,324,4,7,2,1911,912,683,89,0,0,475,491,71,737,327,313,6,10,1,1861,683,912,2019-2020
Atlético Madrid,93,3,2,513,479,116,574,412,406,6,4,3,1950,827,723,113,4,1,506,474,34,728,384,355,3,8,1,1869,723,827,2019-2020
Barcelona,92,6,3,416,529,83,417,342,323,3,7,0,1874,455,364,89,4,2,563,387,68,560,525,361,4,6,2,1824,364,455,2019-2020
Betis,108,9,3,473,577,84,624,302,299,6,11,1,1709,579,558,111,5,3,610,430,125,708,364,374,8,8,0,1723,558,579,2019-2020
Celta Vigo,104,6,3,473,527,70,636,396,357,6,5,0,1905,650,659,119,5,2,571,444,66,783,384,348,3,9,0,1982,659,650,2019-2020
Eibar,92,3,2,538,411,73,870,430,338,5,6,1,2039,974,1091,70,2,2,451,475,121,630,342,331,4,10,1,1931,1091,974,2019-2020
Espanyol,107,9,6,581,469,65,710,360,364,1,7,2,1927,755,814,75,6,3,510,539,71,646,367,305,3,4,2,1924,814,755,2019-2020
Getafe,135,5,2,706,495,106,833,367,341,4,6,2,1947,914,1024,122,11,4,537,656,143,505,384,292,6,7,1,1948,1024,914,2019-2020
Granada,109,1,1,590,497,70,670,383,349,3,5,0,1764,748,849,116,7,3,544,562,75,724,333,302,5,5,2,1837,849,748,2019-2020
Leganés,127,4,2,591,500,75,771,418,357,4,7,1,1821,778,865,105,5,2,541,550,68,636,332,339,6,5,0,1846,865,778,2019-2020
Levante,79,5,4,468,460,81,697,331,288,5,7,2,1913,504,555,96,1,1,495,440,86,854,321,349,5,5,2,1969,555,504,2019-2020
Mallorca,93,5,4,509,526,58,682,376,338,8,16,1,1867,634,729,118,4,4,565,465,54,737,383,393,12,10,1,1962,729,634,2019-2020
Osasuna,110,6,3,551,410,80,755,417,361,2,5,0,2056,874,869,83,4,2,453,515,120,666,406,316,3,8,0,2071,869,874,2019-2020
Real Madrid,82,4,3,487,474,84,776,381,355,11,2,0,2047,521,411,87,1,0,509,456,64,621,374,352,2,11,1,1851,411,521,2019-2020
Real Sociedad,79,2,2,501,489,78,719,320,321,2,9,1,1892,815,710,101,7,5,528,458,95,590,409,359,5,5,2,1880,710,815,2019-2020
Sevilla,97,1,1,522,480,92,880,346,344,4,4,1,2069,746,695,100,5,2,516,486,66,606,430,380,2,7,1,1883,695,746,2019-2020
Valencia,80,8,3,416,543,100,677,360,311,6,9,1,1778,553,601,90,4,3,568,386,57,826,372,288,5,8,1,1914,601,553,2019-2020
Valladolid,84,0,0,484,530,81,645,390,327,6,8,0,1964,618,764,95,4,2,575,450,46,781,300,331,5,6,1,1958,764,618,2019-2020
Villarreal,78,1,0,483,422,71,619,339,323,10,9,2,1894,536,622,84,5,4,456,449,90,838,369,337,7,11,1,1921,622,536,2019-2020
Alavés,101,1,0,551,499,58,729,390,389,2,6,2,1972,864,890,93,2,0,525,528,91,800,364,330,3,3,0,2010,890,864,2018-2019
Athletic Club,120,4,2,580,492,74,728,453,384,6,5,0,2036,923,723,106,2,2,522,554,79,654,355,402,4,7,2,1965,723,923,2018-2019
Atlético Madrid,103,5,3,476,453,80,590,463,487,2,5,2,2080,675,586,95,3,2,477,448,21,692,436,383,3,4,2,2037,586,675,2018-2019
Barcelona,77,2,1,410,550,102,394,391,346,8,2,1,2017,449,365,102,5,3,572,379,68,578,545,435,1,9,2,1963,365,449,2018-2019
Betis,89,1,0,435,548,79,590,361,378,5,5,0,1804,463,467,123,7,4,585,418,101,594,424,392,4,7,1,1852,467,463,2018-2019
Celta Vigo,84,6,5,458,484,90,659,382,377,3,7,1,1904,663,611,89,2,1,515,436,78,745,361,379,7,7,1,1905,611,663,2018-2019
Eibar,82,2,1,521,390,92,1057,368,424,5,4,1,2272,996,1018,76,2,1,428,482,162,518,474,393,3,8,0,2105,1018,996,2018-2019
Espanyol,92,2,2,531,510,84,544,408,394,3,8,2,1935,591,582,111,6,5,540,504,78,822,420,382,6,4,5,1978,582,591,2018-2019
Getafe,111,7,4,642,501,102,638,453,358,4,7,2,2029,836,948,109,5,3,529,588,117,594,342,389,4,6,1,2076,948,836,2018-2019
Girona,83,4,2,537,527,60,743,432,367,3,8,2,1974,749,756,116,7,3,551,509,74,747,407,366,7,6,0,2036,756,749,2018-2019
Huesca,114,3,1,579,442,94,771,440,452,5,9,3,2029,740,762,86,4,3,466,553,109,692,374,399,8,7,0,2043,762,740,2018-2019
Leganés,106,4,2,542,398,75,744,432,382,3,4,1,1942,914,721,90,3,1,428,515,58,737,351,342,3,5,1,1896,721,914,2018-2019
Levante,112,7,5,501,487,85,674,422,372,6,9,2,1969,469,571,92,7,3,511,474,72,747,397,480,7,7,3,2046,571,469,2018-2019
Rayo Vallecano,106,8,5,567,455,71,783,433,422,5,11,1,1996,535,587,73,3,1,481,536,140,722,371,491,9,5,1,2047,587,535,2018-2019
Real Madrid,83,6,4,446,545,112,762,373,395,8,8,0,1957,479,434,93,3,3,568,417,91,533,449,397,5,9,2,1929,434,479,2018-2019
