Unnamed: 1_level_0 # Pl_for,Playing Time Min_for,Performance GA_for,Performance SoTA_for,Performance Saves_for,Performance Save%_for,Performance W_for,Performance D_for,Performance L_for,Performance CS_for,Penalty Kicks PKatt_for,Penalty Kicks PKA_for,Penalty Kicks PKsv_for,Penalty Kicks PKm_for,Penalty Kicks Save%_for,Playing Time Min_against,Performance GA_against,Performance SoTA_against,Performance Saves_against,Performance Save%_against,Performance CS_against,Penalty Kicks PKatt_against,Penalty Kicks PKA_against,Penalty Kicks PKsv_against,Penalty Kicks PKm_against,Penalty Kicks Save%_against
3,3415,48,142,94,69.7,11,11,16,11,8,5,2,1,28.6,3420,37,120,83,73.3,15,6,5,1,0,16.7
1,3420,28,116,88,81.9,25,9,4,17,8,7,1,0,12.5,3420,67,170,106,62.4,5,3,3,0,0,0.0
1,3420,38,105,67,66.7,17,11,10,14,5,3,1,1,25.0,3420,59,150,90,66.7,6,12,9,2,1,18.2
2,3420,33,120,87,75.8,24,5,9,17,6,4,2,0,33.3,3420,53,142,89,66.9,7,7,6,1,0,14.3
2,3420,53,175,121,72.6,10,13,15,7,8,5,3,0,37.5,3418,50,138,89,69.6,9,10,8,1,1,11.1
2,3420,57,161,104,68.3,5,16,17,3,7,6,0,1,0.0,3420,34,118,83,77.1,14,8,7,1,0,12.5
2,3420,44,126,83,70.6,15,13,10,10,9,7,1,1,12.5,3420,60,159,101,69.8,7,13,12,1,0,7.7
3,3418,59,161,99,70.8,10,9,19,9,15,12,3,0,20.0,3420,34,104,70,73.1,14,6,6,0,0,0.0
2,3416,38,128,92,74.2,13,12,13,12,7,5,0,2,0.0,3420,41,136,94,75.7,13,10,8,2,0,20.0
2,3420,27,112,88,78.6,18,16,4,17,4,3,0,1,0.0,3419,51,144,92,68.8,9,8,6,2,0,25.0
2,3420,38,119,80,73.1,25,7,6,15,7,6,1,0,14.3,3420,86,219,135,63.5,6,6,6,0,0,0.0
2,3418,60,154,95,68.2,10,11,17,6,11,11,0,0,0.0,3420,48,159,110,73.6,10,8,6,1,1,14.3
3,3420,49,149,100,70.5,7,16,15,12,5,5,0,0,0.0,3420,37,140,100,77.9,14,9,6,3,0,33.3
2,3420,56,138,81,62.3,11,9,18,11,6,4,2,0,33.3,3420,39,142,101,77.5,15,10,7,3,0,30.0
2,3412,58,163,106,68.1,5,10,23,6,7,6,1,0,14.3,3418,27,124,99,81.5,18,4,4,0,0,0.0
1,3420,37,109,73,70.6,14,12,12,15,6,5,1,0,16.7,3420,43,127,85,70.9,14,7,6,0,1,0.0
2,3420,45,156,110,73.7,16,8,14,13,5,4,1,0,20.0,3420,52,123,73,61.8,10,5,5,0,0,0.0
2,3419,51,138,87,67.4,8,12,18,9,7,6,1,0,14.3,3416,30,148,116,81.8,16,4,3,1,0,25.0
2,3420,53,215,161,76.7,14,7,17,6,6,3,2,1,40.0,3420,47,138,93,69.6,11,5,5,0,0,0.0
3,3420,65,190,125,73.7,9,6,23,5,16,15,1,0,6.3,3420,40,127,87,74.8,18,10,8,1,1,11.1
3,3418,54,143,89,65.7,13,13,12,11,5,5,0,0,0.0,3412,46,150,104,74.7,12,8,8,0,0,0.0
2,3420,25,110,85,79.1,26,9,3,19,2,2,0,0,0.0,3420,70,233,164,74.7,6,11,11,0,0,0.0
2,3420,48,144,96,71.5,16,8,14,9,9,7,1,1,12.5,3420,56,144,89,63.9,7,5,4,1,0,20.0
2,3420,34,117,83,73.5,19,13,6,17,4,3,1,0,25.0,3418,54,171,118,72.5,4,7,7,0,0,0.0
2,3420,53,190,136,75.8,14,11,13,8,9,7,2,0,22.2,3420,46,118,71,65.3,9,8,5,2,1,28.6
