Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Total Cmp_for,Total Att_for,Total Cmp%_for,Total TotDist_for,Total PrgDist_for,Short Cmp_for,Short Att_for,Short Cmp%_for,Medium Cmp_for,Medium Att_for,Medium Cmp%_for,Long Cmp_for,Long Att_for,Long Cmp%_for,Unnamed: 17_level_0 Ast_for,Unnamed: 18_level_0 xAG_for,Expected xA_for,Expected A-xAG_for,Unnamed: 21_level_0 KP_for,Unnamed: 22_level_0 1/3_for,Unnamed: 23_level_0 PPA_for,Unnamed: 24_level_0 CrsPA_for,Unnamed: 25_level_0 PrgP_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Total Cmp_against,Total Att_against,Total Cmp%_against,Total TotDist_against,Total PrgDist_against,Short Cmp_against,Short Att_against,Short Cmp%_against,Medium Cmp_against,Medium Att_against,Medium Cmp%_against,Long Cmp_against,Long Att_against,Long Cmp%_against,Unnamed: 17_level_0 Ast_against,Unnamed: 18_level_0 xAG_against,Expected xA_against,Expected A-xAG_against,Unnamed: 21_level_0 KP_against,Unnamed: 22_level_0 1/3_against,Unnamed: 23_level_0 PPA_against,Unnamed: 24_level_0 CrsPA_against,Unnamed: 25_level_0 PrgP_against,Season
Granada,32,38.0,10582,14889,71.1,199289,81817,4550,5400,84.3,4234,5295,80.0,1460,3218,45.4,28,26.7,25.9,1.3,306,840,205,82,1047,32,38.0,14611,18856,77.5,263943,98808,6498,7472,87.0,5971,7050,84.7,1731,3199,54.1,46,44.6,41.8,1.4,426,1217,347,111,1611,2021-2022
Levante,31,38.0,12584,16422,76.6,226757,88940,5742,6544,87.7,4982,5929,84.0,1501,2917,51.5,34,31.7,25.8,2.3,318,968,254,63,1343,31,38.0,14699,18611,79.0,255582,93473,7006,7884,88.9,5539,6557,84.5,1615,3015,53.6,59,41.2,41.1,17.8,393,1056,300,69,1448,2021-2022
Mallorca,33,38.0,11046,15023,73.5,194935,82006,5149,6054,85.1,4101,5153,79.6,1312,2691,48.8,23,25.7,28.3,-2.7,303,806,235,64,1129,33,38.0,14388,18463,77.9,256615,94635,6448,7397,87.2,5850,6917,84.6,1606,3001,53.5,40,33.8,36.9,6.2,329,1078,316,107,1379,2021-2022
Osasuna,29,38.0,11904,16522,72.0,228055,96276,5076,6144,82.6,4756,6063,78.4,1702,3278,51.9,23,22.9,27.6,0.1,297,1099,298,124,1328,29,38.0,14630,19149,76.4,258592,91704,6586,7550,87.2,5894,7112,82.9,1602,3263,49.1,37,32.5,31.0,4.5,335,1016,271,70,1330,2021-2022
Rayo Vallecano,28,38.0,12747,16933,75.3,237761,93060,5524,6408,86.2,5119,6188,82.7,1719,3277,52.5,28,30.7,35.8,-2.7,359,1012,267,109,1312,28,38.0,12928,17259,74.9,235500,96786,5832,6766,86.2,5108,6181,82.6,1591,3174,50.1,33,34.7,33.7,-1.7,313,1058,267,63,1330,2021-2022
Real Madrid,31,38.0,21373,24517,87.2,355560,112655,10630,11395,93.3,7948,8751,90.8,1987,2902,68.5,59,50.7,55.1,8.3,526,1694,455,57,2078,31,38.0,13258,16452,80.6,234875,88823,6260,6951,90.1,5038,5817,86.6,1529,2706,56.5,20,32.2,33.4,-12.2,319,1027,246,77,1257,2021-2022
Real Sociedad,32,38.0,15403,19304,79.8,269268,98185,6964,7887,88.3,6383,7429,85.9,1569,2800,56.0,22,32.9,35.0,-10.9,313,1067,315,69,1462,32,38.0,12311,16279,75.6,222084,82705,5444,6285,86.6,4887,5872,83.2,1509,2989,50.5,28,28.1,29.8,-0.1,318,949,246,75,1206,2021-2022
Sevilla,33,38.0,18327,22234,82.4,341688,109518,7686,8529,90.1,7941,8940,88.8,2275,3745,60.7,40,32.5,34.6,7.5,342,1207,305,112,1596,33,38.0,11300,15095,74.9,204753,79517,5021,5924,84.8,4475,5445,82.2,1367,2778,49.2,19,25.0,29.4,-6.0,298,900,239,67,1182,2021-2022
Valencia,34,38.0,9627,13777,69.9,187440,77723,3923,4782,82.0,3835,4951,77.5,1506,3098,48.6,30,25.4,27.4,4.6,288,900,256,75,1202,34,38.0,13730,17920,76.6,244102,96311,6345,7234,87.7,5254,6418,81.9,1618,3095,52.3,34,32.3,30.7,1.7,330,1061,275,77,1392,2021-2022
Villarreal,29,38.0,16679,20401,81.8,294002,103203,7388,8290,89.1,7135,8109,88.0,1669,2743,60.8,51,50.9,49.9,0.1,363,1278,349,66,1698,29,38.0,11881,15636,76.0,216502,79444,5234,5996,87.3,4744,5663,83.8,1462,2897,50.5,20,30.2,28.2,-10.2,294,894,229,80,1095,2021-2022
Alavés,30,38.0,10217,14390,71.0,196749,86617,4465,5486,81.4,4015,5139,78.1,1482,2923,50.7,21,27.4,21.0,-6.4,256,789,189,82,939,30,38.0,15323,19621,78.1,272108,93122,6945,7955,87.3,6055,7146,84.7,1778,3256,54.6,44,37.1,34.2,6.9,292,1086,299,78,1479,2020-2021
Athletic Club,27,38.0,13577,17841,76.1,251118,91439,5872,6901,85.1,5484,6607,83.0,1791,3120,57.4,31,31.0,27.9,0.0,303,1054,284,79,1496,27,38.0,14283,18323,78.0,257670,93431,6622,7507,88.2,5355,6400,83.7,1797,3229,55.7,29,27.1,30.0,1.9,282,1022,280,94,1380,2020-2021
Atlético Madrid,25,38.0,16757,20680,81.0,276506,95008,8278,9219,89.8,5931,6995,84.8,1653,2869,57.6,54,40.6,38.8,13.4,347,1144,370,53,1604,25,38.0,15160,19039,79.6,269657,90693,6763,7647,88.4,5993,6942,86.3,1807,3152,57.3,15,27.7,28.9,-12.7,271,1175,243,77,1394,2020-2021
Barcelona,25,38.0,25192,28488,88.4,384110,119170,13304,14257,93.3,9056,9893,91.5,1599,2287,69.9,51,53.2,63.6,-2.2,452,1874,517,52,2157,25,38.0,11743,15011,78.2,208239,80182,5511,6256,88.1,4485,5238,85.6,1354,2515,53.8,20,25.4,25.7,-5.4,234,806,223,56,1038,2020-2021
Betis,25,38.0,15816,19679,80.4,273427,94370,7406,8310,89.1,6094,7035,86.6,1673,3002,55.7,35,33.4,30.5,1.6,335,1048,297,80,1442,25,38.0,13194,17222,76.6,238320,88022,5750,6649,86.5,5379,6415,83.9,1595,2971,53.7,31,30.1,29.1,0.9,259,928,245,68,1311,2020-2021
Cádiz,34,38.0,7949,12067,65.9,158876,72248,3244,4091,79.3,3064,4071,75.3,1319,2992,44.1,16,20.4,16.9,-4.4,196,653,152,73,854,34,38.0,18990,23128,82.1,325229,109780,8929,9933,89.9,7698,8790,87.6,1736,2988,58.1,41,39.3,44.2,1.7,340,1523,367,100,1881,2020-2021
Celta Vigo,30,38.0,15176,19318,78.6,263065,91357,6912,7946,87.0,6117,7188,85.1,1552,2914,53.3,39,36.7,32.0,2.3,267,978,248,48,1308,30,38.0,12833,16949,75.7,234551,90752,5767,6732,85.7,4864,5911,82.3,1703,3093,55.1,37,35.7,33.2,1.3,285,965,248,79,1249,2020-2021
Eibar,30,38.0,11810,16890,69.9,234607,92605,4840,5844,82.8,4584,5965,76.8,2002,4026,49.7,20,29.9,28.5,-9.9,309,1119,254,118,1295,30,38.0,12572,17650,71.2,235599,96981,5489,6648,82.6,4928,6296,78.3,1719,3524,48.8,40,35.2,26.3,4.8,264,842,230,62,1056,2020-2021
Elche,30,38.0,13481,17054,79.0,244141,94274,6024,6751,89.2,5311,6194,85.7,1653,3001,55.1,25,21.8,19.8,3.2,190,785,148,79,929,30,38.0,15678,19233,81.5,280780,94332,6907,7794,88.6,6608,7543,87.6,1700,2817,60.3,43,44.0,42.8,-1.0,369,1247,346,84,1647,2020-2021
Getafe,31,38.0,8977,13863,64.8,170990,76315,4043,5155,78.4,3111,4340,71.7,1417,3219,44.0,14,23.6,24.0,-9.6,261,863,225,102,1090,31,38.0,14007,18783,74.6,254282,98526,6282,7408,84.8,5491,6728,81.6,1739,3372,51.6,26,25.8,23.2,0.2,223,935,204,58,1195,2020-2021
Granada,34,38.0,9083,13336,68.1,173761,74249,3915,4776,82.0,3574,4629,77.2,1288,2951,43.6,30,26.8,22.6,3.2,224,813,173,58,975,34,38.0,15039,19293,78.0,268348,97780,6817,7821,87.2,5922,7064,83.8,1751,3151,55.6,41,38.2,36.5,2.8,363,1126,324,96,1449,2020-2021
Huesca,27,38.0,13511,17483,77.3,250957,87960,5695,6489,87.8,5786,6819,84.9,1679,3199,52.5,23,26.6,25.3,-3.6,295,898,221,113,1185,27,38.0,15344,19259,79.7,275522,98942,6855,7746,88.5,6087,7054,86.3,1841,3242,56.8,37,35.6,32.8,1.4,324,1211,298,93,1447,2020-2021
Levante,29,38.0,14189,18113,78.3,256983,95961,6357,7201,88.3,5757,6801,84.6,1695,3077,55.1,35,29.6,30.0,5.4,286,1087,306,83,1537,29,38.0,13052,16963,76.9,238487,89708,5779,6636,87.1,5179,6169,84.0,1628,3057,53.3,42,40.0,33.1,2.0,356,966,304,80,1299,2020-2021
Osasuna,28,38.0,10233,15031,68.1,201352,91555,4401,5541,79.4,3869,5149,75.1,1649,3329,49.5,25,24.9,27.9,0.1,259,968,261,101,1220,28,38.0,15379,20219,76.1,268013,95911,7198,8271,87.0,5912,7233,81.7,1696,3425,49.5,31,33.2,35.8,-2.2,322,1070,321,89,1525,2020-2021
Real Madrid,30,38.0,20652,24119,85.6,352965,111437,9790,10620,92.2,7728,8593,89.9,2214,3224,68.7,53,47.4,48.8,5.6,438,1525,401,77,1920,30,38.0,13187,16672,79.1,231875,87915,6262,7020,89.2,4926,5792,85.0,1484,2710,54.8,17,24.4,24.5,-7.4,269,956,250,85,1157,2020-2021
Real Sociedad,30,38.0,14915,18995,78.5,264692,91984,6592,7589,86.9,6282,7368,85.3,1582,2840,55.7,39,39.6,39.7,-0.6,308,1100,343,64,1554,30,38.0,11867,15816,75.0,219009,82039,5271,6122,86.1,4510,5447,82.8,1613,3088,52.2,24,26.1,25.4,-2.1,251,805,213,65,1011,2020-2021
Sevilla,26,38.0,19248,22873,84.2,342985,106478,8654,9471,91.4,7775,8720,89.2,2190,3442,63.6,36,41.0,40.1,-5.0,387,1234,346,122,1627,26,38.0,11221,14857,75.5,203283,81513,5104,5905,86.4,4222,5116,82.5,1428,2771,51.5,20,22.5,21.7,-2.5,244,839,209,62,1103,2020-2021
Valencia,30,38.0,12755,16480,77.4,241622,89245,5332,6142,86.8,5304,6236,85.1,1735,3073,56.5,35,27.2,24.8,7.8,283,926,239,62,1180,30,38.0,15047,18941,79.4,264085,91502,7083,7920,89.4,5712,6772,84.3,1694,3074,55.1,29,33.8,37.1,-4.8,392,1295,342,91,1644,2020-2021
Valladolid,32,38.0,11145,15385,72.4,206105,80260,4972,5863,84.8,4299,5283,81.4,1489,3187,46.7,21,24.2,25.7,-3.2,263,873,213,90,1101,32,38.0,14587,18827,77.5,263843,100052,6525,7550,86.4,5667,6782,83.6,1826,3220,56.7,44,38.3,37.0,5.7,346,1153,326,94,1549,2020-2021
Villarreal,29,38.0,17508,21129,82.9,305401,104843,8074,8963,90.1,7097,8015,88.5,1788,2857,62.6,33,40.5,40.7,-7.5,317,1175,358,81,1628,29,38.0,13685,17408,78.6,241512,86192,6311,7095,88.9,5245,6202,84.6,1561,2877,54.3,25,26.2,27.2,-1.2,290,956,273,106,1227,2020-2021
Alavés,32,38.0,9612,13973,68.8,182169,82570,4283,5328,80.4,3614,4788,75.5,1385,2920,47.4,20,26.9,22.0,-6.9,236,723,171,56,944,32,38.0,15671,20109,77.9,285197,97858,6754,7797,86.6,6374,7561,84.3,1942,3427,56.7,36,37.1,32.4,-1.1,332,1139,283,72,1548,2019-2020
