Squad,Unnamed: 1_level_0 # Pl_for,Unnamed: 2_level_0 90s_for,Standard Gls_for,Standard Sh_for,Standard SoT_for,Standard SoT%_for,Standard Sh/90_for,Standard SoT/90_for,Standard G/Sh_for,Standard G/SoT_for,Standard Dist_for,Standard FK_for,Standard PK_for,Standard PKatt_for,Expected xG_for,Expected npxG_for,Expected npxG/Sh_for,Expected G-xG_for,Expected np:G-xG_for,Unnamed: 1_level_0 # Pl_against,Unnamed: 2_level_0 90s_against,Standard Gls_against,Standard Sh_against,Standard SoT_against,Standard SoT%_against,Standard Sh/90_against,Standard SoT/90_against,Standard G/Sh_against,Standard G/SoT_against,Standard Dist_against,Standard FK_against,Standard PK_against,Standard PKatt_against,Expected xG_against,Expected npxG_against,Expected npxG/Sh_against,Expected G-xG_against,Expected np:G-xG_against,Season
Napoli,27,38.0,56,499,150,30.1,13.13,3.95,0.1,0.35,16.2,11,4,5,52.9,49.1,0.1,3.1,2.9,27,38.0,25,360,93,25.8,9.47,2.45,0.07,0.26,19.2,19,1,4,29.6,26.3,0.07,-4.6,-2.3,2024-2025 Serie A
Parma,32,38.0,43,418,140,33.5,11.0,3.68,0.09,0.26,19.3,22,6,7,43.1,37.6,0.09,-0.1,-0.6,32,38.0,56,537,153,28.5,14.13,4.03,0.09,0.33,17.1,20,5,5,56.4,52.6,0.1,-0.4,-1.6,2024-2025 Serie A
Roma,28,38.0,55,514,162,31.5,13.53,4.26,0.09,0.29,17.9,15,8,8,53.0,46.7,0.09,2.0,0.3,28,38.0,34,437,147,33.6,11.5,3.87,0.07,0.2,18.2,13,4,4,40.9,37.7,0.09,-6.9,-7.7,2024-2025 Serie A
Torino,31,38.0,36,383,123,32.1,10.08,3.24,0.09,0.28,18.6,12,2,4,34.6,31.6,0.08,1.4,2.4,31,38.0,43,522,173,33.1,13.74,4.55,0.08,0.23,17.3,9,3,7,50.4,44.9,0.09,-7.4,-4.9,2024-2025 Serie A
Udinese,31,38.0,41,430,137,31.9,11.32,3.61,0.09,0.28,17.7,15,2,4,38.2,35.0,0.08,2.8,4.0,31,38.0,51,496,157,31.7,13.05,4.13,0.09,0.28,16.8,12,7,8,52.6,46.5,0.1,-1.6,-2.5,2024-2025 Serie A
Venezia,36,38.0,31,381,120,31.5,10.03,3.16,0.07,0.23,18.5,25,4,5,35.8,32.0,0.09,-4.8,-5.0,36,38.0,53,556,177,31.8,14.63,4.66,0.08,0.24,17.2,15,10,11,57.5,48.9,0.09,-4.5,-5.9,2024-2025 Serie A
Angers,30,34.0,31,311,91,29.3,9.15,2.68,0.08,0.29,18.3,13,5,6,36.0,31.3,0.1,-5.0,-5.3,30,34.0,53,478,186,38.9,14.06,5.47,0.1,0.26,16.9,9,4,5,57.8,53.9,0.12,-4.8,-4.9,2024-2025 Ligue 1
Auxerre,29,34.0,47,375,144,38.4,11.03,4.24,0.11,0.3,17.5,10,4,5,41.0,37.3,0.1,6.0,5.7,29,34.0,48,445,165,37.1,13.09,4.85,0.09,0.25,16.5,17,6,8,58.6,52.3,0.12,-10.6,-10.3,2024-2025 Ligue 1
Brest,30,34.0,52,409,151,36.9,12.03,4.44,0.11,0.3,17.0,7,7,9,45.4,38.3,0.1,6.6,6.7,30,34.0,57,404,132,32.7,11.88,3.88,0.12,0.37,15.8,8,8,10,57.4,50.0,0.13,-0.4,-1.0,2024-2025 Ligue 1
Le Havre,31,34.0,37,339,97,28.6,9.97,2.85,0.08,0.29,17.8,14,9,10,41.4,33.4,0.1,-4.4,-5.4,31,34.0,70,482,169,35.1,14.18,4.97,0.13,0.38,16.4,8,5,6,62.8,58.5,0.13,7.2,6.5,2024-2025 Ligue 1
Lens,33,34.0,40,484,148,30.6,14.24,4.35,0.07,0.24,16.7,7,5,5,51.8,48.3,0.1,-11.8,-13.3,33,34.0,39,369,133,36.0,10.85,3.91,0.08,0.23,17.2,12,8,9,45.3,38.3,0.11,-6.3,-7.3,2024-2025 Ligue 1
Lille,27,34.0,52,424,154,36.3,12.47,4.53,0.11,0.29,16.6,15,7,10,54.7,47.5,0.12,-2.7,-2.5,27,34.0,35,333,122,36.6,9.79,3.59,0.09,0.25,16.3,10,4,4,42.5,39.4,0.12,-7.5,-8.4,2024-2025 Ligue 1
Lyon,31,34.0,62,434,173,39.9,12.76,5.09,0.12,0.31,16.2,6,8,10,60.3,52.5,0.12,1.7,1.5,31,34.0,46,447,163,36.5,13.15,4.79,0.1,0.26,18.1,17,3,3,45.7,43.3,0.1,0.3,-0.3,2024-2025 Ligue 1
Marseille,32,34.0,70,481,185,38.5,14.15,5.44,0.13,0.34,16.7,15,8,10,63.8,55.8,0.12,6.2,6.2,32,34.0,45,320,129,40.3,9.41,3.79,0.13,0.33,17.0,11,3,6,45.2,40.9,0.13,-0.2,1.1,2024-2025 Ligue 1
Monaco,28,34.0,63,493,180,36.5,14.5,5.29,0.12,0.32,15.7,9,6,7,72.8,67.7,0.14,-9.8,-10.7,28,34.0,41,333,125,37.5,9.79,3.68,0.11,0.3,18.2,5,3,3,34.8,32.7,0.1,6.2,5.3,2024-2025 Ligue 1
Montpellier,35,34.0,23,371,111,29.9,10.91,3.26,0.05,0.18,18.7,20,3,4,33.5,30.4,0.09,-10.5,-10.4,35,34.0,76,523,185,35.4,15.38,5.44,0.13,0.37,16.3,15,8,9,63.3,56.1,0.11,12.7,11.9,2024-2025 Ligue 1
Nantes,30,34.0,39,345,119,34.5,10.15,3.5,0.1,0.29,15.9,4,5,5,39.1,35.3,0.11,-0.1,-1.3,30,34.0,49,419,141,33.7,12.32,4.15,0.1,0.3,16.2,8,7,8,55.5,49.3,0.12,-6.5,-7.3,2024-2025 Ligue 1
Nice,31,34.0,62,486,183,37.7,14.29,5.38,0.12,0.31,16.2,14,6,6,61.6,56.9,0.13,0.4,-0.9,31,34.0,40,456,158,34.6,13.41,4.65,0.08,0.24,17.9,13,2,3,40.2,38.0,0.09,-0.2,0.0,2024-2025 Ligue 1
Paris S-G,28,34.0,89,628,272,43.3,18.47,8.0,0.13,0.31,16.3,13,6,7,88.9,83.3,0.14,0.1,-0.3,28,34.0,34,309,100,32.4,9.09,2.94,0.1,0.31,17.6,6,3,3,31.2,29.0,0.1,2.8,2.0,2024-2025 Ligue 1
Reims,34,34.0,32,393,111,28.2,11.56,3.26,0.08,0.28,17.6,8,1,2,37.4,35.9,0.09,-5.4,-4.9,34,34.0,47,496,174,35.1,14.59,5.12,0.09,0.25,16.7,9,4,5,57.4,53.5,0.11,-10.4,-10.5,2024-2025 Ligue 1
Rennes,35,34.0,51,423,155,36.6,12.44,4.56,0.11,0.3,17.3,8,5,8,48.6,42.7,0.1,2.4,3.3,35,34.0,48,370,132,35.7,10.88,3.88,0.12,0.34,16.6,8,3,6,46.0,41.4,0.11,2.0,3.6,2024-2025 Ligue 1
Saint-Étienne,32,34.0,39,366,115,31.4,10.76,3.38,0.1,0.31,18.1,8,3,4,36.4,33.2,0.1,2.6,2.8,32,34.0,75,536,194,36.2,15.76,5.71,0.12,0.32,15.7,12,13,15,74.3,62.3,0.12,0.7,-0.3,2024-2025 Ligue 1
Strasbourg,30,34.0,54,354,140,39.5,10.41,4.12,0.15,0.37,16.0,10,2,2,49.3,47.7,0.14,4.7,4.3,30,34.0,42,448,160,35.7,13.18,4.71,0.08,0.21,16.7,9,8,9,56.1,49.3,0.11,-14.1,-15.3,2024-2025 Ligue 1
Toulouse,27,34.0,42,399,145,36.3,11.74,4.26,0.1,0.27,15.4,7,3,4,49.1,46.0,0.12,-7.1,-7.0,27,34.0,40,347,106,30.5,10.21,3.12,0.11,0.37,17.6,11,1,2,36.8,35.2,0.1,3.2,3.8,2024-2025 Ligue 1
Augsburg,29,34.0,35,397,114,28.7,11.68,3.35,0.09,0.3,17.4,10,1,2,34.7,33.1,0.08,0.3,0.9,29,34.0,49,447,151,33.8,13.15,4.44,0.1,0.29,16.7,13,5,5,48.9,45.0,0.1,0.1,-1.0,2024-2025 Bundesliga
Bayern Munich,29,34.0,96,636,255,40.1,18.71,7.5,0.14,0.34,16.7,19,9,10,81.7,74.0,0.12,14.3,13.0,29,34.0,32,229,79,34.5,6.74,2.32,0.14,0.39,17.3,3,1,2,25.5,24.0,0.11,6.5,7.0,2024-2025 Bundesliga
Bochum,27,34.0,32,433,133,30.7,12.74,3.91,0.07,0.23,17.7,11,1,3,41.8,39.3,0.09,-9.8,-8.3,27,34.0,68,481,148,30.8,14.15,4.35,0.14,0.44,16.3,16,3,6,63.2,58.2,0.12,4.8,6.8,2024-2025 Bundesliga
Dortmund,28,34.0,69,478,157,32.8,14.06,4.62,0.13,0.41,16.1,9,5,6,61.2,56.5,0.12,7.8,7.5,28,34.0,50,372,136,36.6,10.94,4.0,0.12,0.34,17.0,8,4,4,42.8,39.6,0.11,7.2,6.4,2024-2025 Bundesliga
Eint Frankfurt,26,34.0,68,480,172,35.8,14.12,5.06,0.14,0.38,16.4,13,3,5,65.1,61.4,0.13,2.9,3.6,26,34.0,44,466,160,34.3,13.71,4.71,0.09,0.27,17.1,8,1,3,48.0,45.7,0.1,-4.0,-2.7,2024-2025 Bundesliga
