Squad,season,liga,Cluster_Por90min_Femenino,Cluster_Normalizado_Femenino,Cluster_Por90min_La_Liga,Cluster_Normalizado_La_Liga,Cluster_Por90min_Bundesliga,Cluster_Normalizado_Bundesliga,Cluster_Por90min_Ligue_1,Cluster_Normalizado_Ligue_1,Cluster_Por90min_Serie_A,Cluster_Normalizado_Serie_A,Cluster_Por90min_Premier_League,Cluster_Normalizado_Premier_League,Cluster_Por90min_Global,Cluster_Normalizado_Global,Cluster_pred_Serie A_Normalizado,Cluster_pred_Femenino_Por90min,Cluster_pred_Femenino_Normalizado,Cluster_pred_Bundesliga_Por90min,Cluster_pred_Bundesliga_Normalizado,Cluster_pred_Ligue_1_Por90min,Cluster_pred_Ligue_1_Normalizado,Cluster_pred_Serie_A_Por90min,Cluster_pred_Serie_A_Normalizado,Cluster_pred_Premier_League_Por90min,Cluster_pred_Premier_League_Normalizado
Getafe,2018-2019,La Liga,,,2.0,2.0,,,,,,,,,2.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
Girona,2018-2019,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0
Huesca,2018-2019,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0
Leganés,2018-2019,La Liga,,,2.0,2.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
Levante,2018-2019,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0
Rayo Vallecano,2018-2019,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,3.0,3.0
Real Madrid,2018-2019,La Liga,,,1.0,1.0,,,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0
Real Sociedad,2018-2019,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0
Sevilla,2018-2019,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0
Valencia,2018-2019,La Liga,,,3.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0
Valladolid,2018-2019,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0
Villarreal,2018-2019,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0
Alavés,2017-2018,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
Athletic Club,2017-2018,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,2.0
Atlético Madrid,2017-2018,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0
Barcelona,2017-2018,La Liga,,,1.0,1.0,,,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0
Betis,2017-2018,La Liga,,,1.0,4.0,,,,,,,,,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0
Celta Vigo,2017-2018,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Eibar,2017-2018,La Liga,,,3.0,2.0,,,,,,,,,1.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0
Espanyol,2017-2018,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0
Getafe,2017-2018,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
Girona,2017-2018,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0
La Coruña,2017-2018,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0
Las Palmas,2017-2018,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Leganés,2017-2018,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0
Levante,2017-2018,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0
Málaga,2017-2018,La Liga,,,2.0,4.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0
Real Madrid,2017-2018,La Liga,,,1.0,1.0,,,,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0
Real Sociedad,2017-2018,La Liga,,,3.0,1.0,,,,,,,,,1.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0
Sevilla,2017-2018,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
Valencia,2017-2018,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0
Villarreal,2017-2018,La Liga,,,3.0,4.0,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0
Athletic Club,2024-2025,Femenino,2.0,3.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,,
Atlético Madrid,2024-2025,Femenino,2.0,3.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,
Barcelona,2024-2025,Femenino,3.0,2.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,
Dep La Coruña,2024-2025,Femenino,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
Eibar,2024-2025,Femenino,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
Espanyol,2024-2025,Femenino,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
Granada,2024-2025,Femenino,2.0,3.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,,
Levante,2024-2025,Femenino,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
Levante Planas,2024-2025,Femenino,2.0,3.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,,
Madrid CFF,2024-2025,Femenino,2.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
Real Betis,2024-2025,Femenino,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
Real Madrid,2024-2025,Femenino,2.0,4.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,
Real Sociedad,2024-2025,Femenino,2.0,3.0,,,,,,,,,,,1.0,3.0,,,,,,,,,,,
Sevilla,2024-2025,Femenino,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
UDG Tenerife,2024-2025,Femenino,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
Valencia,2024-2025,Femenino,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
